SurveyInstanceID,Survey,Title2,Title3,LocStoreID,SurveyDate,AuditorLogin,Client,Auditor,DataAvailableToClientTime,DataDeliveredToClientTime,Auditor,AuditorSubmitDelay,AuditorSubmitIdle,ValidationStartIdle,Validation,Validation,ExportDelay,First Assigned,Last Assigned,FirstValidator,FirstOkExportValidator,Validator Pay Rate,StartDate,Date,IsOverDue,isSurveyDateInBlackout,Last Export
,,,,,,,,Work,,,Data,,,,Work,Total,,,,,,,,,,,
,,,,,,,,Time,,,Entry,,,,Time,Time,,,,,,,,,,,
10516,Персональные данные,,,PROFILE,2022-11-28,mbolasha,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-28 10:01:00.000,,0,2022-06-15 15:02:00
11147,Персональные данные,,,PROFILE,2022-11-21,oobydenn,_EXTENDED PROFILE,00:01:00,-14:00:56,-58:03:13,00:00:00,,,,00:00:00,00:01:00,-44:02:17,,,jglotova,jglotova,0,,2022-11-21 15:19:00.000,,0,2022-06-15 15:02:00
11173,Персональные данные,,,PROFILE,2022-11-06,rredik,_EXTENDED PROFILE,00:01:00,26:22:00,-144:02:57,00:00:00,,,,00:00:00,00:01:00,-171:00:57,,,orepina,orepina,0,,2022-11-06 17:59:00.000,,0,2022-06-15 15:02:00
11347,Персональные данные,,,PROFILE,2022-11-27,oshapova,_EXTENDED PROFILE,00:02:00,06:06:54,-164:22:11,00:00:00,,,,00:00:00,00:02:00,-171:05:05,,,orepina,orepina,0,,2022-11-27 13:13:00.000,,0,2022-06-15 15:02:00
11436,Персональные данные,,,PROFILE,2022-11-06,echichin,_EXTENDED PROFILE,00:03:00,27:13:08,-143:11:51,00:00:00,,,,00:00:00,00:03:00,-171:00:59,,,orepina,orepina,0,,2022-11-06 02:53:00.000,,0,2022-06-15 15:02:00
11444,Персональные данные,,,PROFILE,2022-11-17,mdomrach,_EXTENDED PROFILE,00:10:00,15:22:38,-155:04:55,00:00:00,,,,00:00:00,00:10:00,-171:03:33,,,orepina,orepina,0,,2022-11-17 19:57:00.000,,0,2022-06-15 15:02:00
11701,Персональные данные,,,PROFILE,2022-11-29,jnosov,_EXTENDED PROFILE,00:03:00,03:22:49,-167:06:33,00:00:00,,,,00:00:00,00:03:00,-171:05:22,,,orepina,orepina,0,,2022-11-29 21:35:00.000,,0,2022-06-15 15:02:00
11705,Персональные данные,,,PROFILE,2022-11-09,asemenov,_EXTENDED PROFILE,00:01:00,02:01:04,-75:01:40,00:00:00,,,,00:00:00,00:01:00,-77:02:44,,,jglotova,jglotova,0,,2022-11-09 15:50:00.000,,0,2022-06-15 15:02:00
11783,Персональные данные,,,PROFILE,2022-11-18,mkorobov,_EXTENDED PROFILE,00:01:00,15:02:19,-156:01:19,00:00:00,,,,00:00:00,00:01:00,-171:03:38,,,orepina,orepina,0,,2022-11-18 16:21:00.000,,0,2022-06-15 15:02:00
12164,Персональные данные,,,PROFILE,2022-11-02,adanilov,_EXTENDED PROFILE,00:01:00,10:19:49,-35:12:44,00:00:00,,,,00:00:00,00:01:00,-46:08:33,,,jglotova,jglotova,0,,2022-11-02 13:08:00.000,,0,2022-06-16 03:00:00
12592,Персональные данные,,,PROFILE,2022-11-30,chigkova78,_EXTENDED PROFILE,00:01:00,13:04:16,-57:22:38,00:00:00,,,,00:00:00,00:01:00,-71:02:54,,,jglotova,jglotova,0,,2022-11-30 21:22:00.000,,0,2022-06-21 15:03:00
12747,Персональные данные,,,PROFILE,2022-11-10,Tamara1,_EXTENDED PROFILE,00:05:00,22:21:08,-139:22:24,00:00:00,,,,00:00:00,00:05:00,-162:19:32,,,orepina,orepina,0,,2022-11-10 19:27:00.000,,0,2022-06-23 21:03:00
12807,Персональные данные,,,PROFILE,2022-11-30,Bari88,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-30 08:11:00.000,,0,2022-06-24 21:00:00
12845,Персональные данные,,,PROFILE,2022-11-17,avershin,_EXTENDED PROFILE,00:01:00,16:04:39,-143:04:44,00:00:00,,,,00:00:00,00:01:00,-159:09:23,,,orepina,orepina,0,,2022-11-17 13:44:00.000,,0,2022-06-27 09:00:00
12861,Персональные данные,,,PROFILE,2022-11-08,ebogomol,_EXTENDED PROFILE,00:02:00,29:08:05,-133:09:48,00:00:00,,,,00:00:00,00:02:00,-162:17:53,,,orepina,orepina,0,,2022-11-08 06:49:00.000,,0,2022-06-27 21:01:00
12947,Персональные данные,,,PROFILE,2022-11-05,kryukova,_EXTENDED PROFILE,00:04:00,27:20:39,-129:04:21,00:00:00,,,,00:00:00,00:04:00,-157:01:00,,,orepina,orepina,0,,2022-11-05 19:23:00.000,,0,2022-06-29 15:02:00
13231,Персональные данные,,,PROFILE,2022-11-24,ehisamova,_EXTENDED PROFILE,00:00:00,09:00:59,-147:22:01,00:00:00,,,,00:00:00,00:00:00,-156:23:00,,,orepina,orepina,0,,2022-11-24 19:01:00.000,,0,2022-06-29 21:00:00
13286,Персональные данные,,,PROFILE,2022-11-28,oleandr.red,_EXTENDED PROFILE,00:07:00,05:02:43,-151:02:26,00:00:00,,,,00:00:00,00:07:00,-156:05:09,,,orepina,orepina,0,,2022-11-28 17:29:00.000,,0,2022-06-30 15:03:00
13695,Персональные данные,,,PROFILE,2022-11-04,imityush,_EXTENDED PROFILE,00:08:00,-50:14:21,-126:10:19,00:06:00,,,,00:06:00,00:08:00,-75:19:58,,,jglotova,jglotova,0,,2022-11-04 07:20:00.000,,0,2022-06-30 21:01:00
13698,Персональные данные,,,PROFILE,2022-11-24,enakonec,_EXTENDED PROFILE,00:06:00,09:04:10,-146:18:48,00:01:00,,,,00:01:00,00:06:00,-155:22:58,,,orepina,orepina,0,,2022-11-24 15:49:00.000,,0,2022-06-30 21:01:00
13874,Персональные данные,,,PROFILE,2022-11-21,Ofilatki,_EXTENDED PROFILE,00:02:00,-15:02:10,-46:06:38,00:00:00,,,,00:00:00,00:02:00,-31:04:28,,,jglotova,jglotova,0,,2022-11-21 19:02:00.000,,0,2022-07-01 09:01:00
13883,Персональные данные,,,PROFILE,2022-11-07,iborisen,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-07 11:53:00.000,,0,2022-07-01 15:01:00
13893,Персональные данные,,,PROFILE,2022-11-21,Afedotov79,_EXTENDED PROFILE,00:02:00,-19:20:22,-50:12:50,00:00:00,,,,00:00:00,00:02:00,-30:16:28,,,jglotova,jglotova,0,,2022-11-21 08:21:00.000,,0,2022-07-01 21:02:00
13914,Персональные данные,,,PROFILE,2022-11-29,ogilaman,_EXTENDED PROFILE,00:04:00,04:11:59,-150:05:16,00:00:00,,,,00:00:00,00:04:00,-154:17:15,,,orepina,orepina,0,,2022-11-29 08:17:00.000,,0,2022-07-02 03:01:00
13981,Персональные данные,,,PROFILE,2022-11-21,orudenko,_EXTENDED PROFILE,00:00:00,01:14:56,-74:00:13,00:00:00,,,,00:00:00,00:00:00,-75:15:09,,,jglotova,jglotova,0,,2022-11-21 11:22:00.000,,0,2022-07-05 21:02:00
14943,Персональные данные,,,PROFILE,2022-11-16,ckondratenko,_EXTENDED PROFILE,00:00:00,62:02:49,-01:21:28,00:00:00,,,,00:00:00,00:00:00,-64:00:17,,,jglotova,jglotova,0,,2022-11-16 07:22:00.000,,0,2022-07-18 15:05:00
14999,Персональные данные,,,PROFILE,2022-11-21,shevchenko_74,_EXTENDED PROFILE,00:01:00,12:05:08,-124:17:01,00:00:00,,,,00:00:00,00:01:00,-136:22:09,,,orepina,orepina,0,,2022-11-21 14:02:00.000,,0,2022-07-19 21:01:00
15058,Персональные данные,,,PROFILE,2022-11-10,strega,_EXTENDED PROFILE,00:02:00,23:03:11,-112:16:14,00:00:00,,,,00:00:00,00:02:00,-135:19:25,,,orepina,orepina,0,,2022-11-10 13:16:00.000,,0,2022-07-20 21:02:00
15092,Персональные данные,,,PROFILE,2022-11-22,avcelena,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-22 18:11:00.000,,0,2022-07-21 21:02:00
15132,Персональные данные,,,PROFILE,2022-11-22,nadezhdatrofi6,_EXTENDED PROFILE,00:03:00,11:06:15,-122:16:18,00:00:00,,,,00:00:00,00:03:00,-133:22:33,,,orepina,orepina,0,,2022-11-22 13:19:00.000,,0,2022-07-22 21:01:00
